canonical_product_id,model,generation,motorisation,year_from,year_to,category_url
autopart.tn:18658,KYRON,,2.3,2010,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-3-14386.html
autopart.tn:18658,KORANDO (KJ),KJ,3.2 (KJ),1996,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/3-2-kj-7912.html
autopart.tn:18658,ACTYON SPORTS I (QJ),QJ,2.0 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-4wd-30692.html
autopart.tn:18658,ACTYON I,,200 Xdi 4WD,2006,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/200-xdi-4wd-19893.html
autopart.tn:18658,KORANDO Cabrio (KJ),KJ,3.2,1997,2006,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-cabrio-kj-3427/3-2-17339.html
autopart.tn:68315,KYRON,,2.0 Xdi 4x4,2005,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-0-xdi-4x4-19183.html
autopart.tn:68315,ACTYON SPORTS I (QJ),QJ,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-59019.html
autopart.tn:68315,ACTYON I,,200 Xdi 4WD,2006,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/200-xdi-4wd-19893.html
autopart.tn:68315,KORANDO (KJ),KJ,2.0,1997,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/2-0-8697.html
autopart.tn:68188,KYRON,,2.0 Xdi 4x4,2005,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-0-xdi-4x4-19183.html
autopart.tn:68188,ACTYON SPORTS I (QJ),QJ,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-59019.html
autopart.tn:68188,KORANDO (KJ),KJ,2.0,1997,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/2-0-8697.html
autopart.tn:68188,ACTYON I,,2.0 Xdi,2005,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/2-0-xdi-30143.html
autopart.tn:48285,KORANDO (KJ),KJ,2.9 D (KJ),1996,2000,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/2-9-d-kj-7910.html
autopart.tn:48285,KORANDO (K4),K4,2.2 D,1988,1996,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-k4-1939/2-2-d-8160.html
autopart.tn:48285,ACTYON I,,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/2-0-xdi-14629.html
autopart.tn:48285,KORANDO Cabrio (KJ),KJ,2.9 D,1997,2000,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-cabrio-kj-3427/2-9-d-11286.html
autopart.tn:3849,KYRON,,2.3,2010,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-3-14386.html
autopart.tn:3849,KORANDO (KJ),KJ,3.2 (KJ),1996,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/3-2-kj-7912.html
autopart.tn:3849,ACTYON SPORTS I (QJ),QJ,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-59019.html
autopart.tn:3849,ACTYON I,,200 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/200-xdi-4wd-14644.html
autopart.tn:3849,KORANDO Cabrio (KJ),KJ,3.2,1997,2006,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-cabrio-kj-3427/3-2-17339.html
autopart.tn:46970,KORANDO (KJ),KJ,3.2 (KJ),1996,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/3-2-kj-7912.html
autopart.tn:46970,KYRON,,2.0 Xdi 4x4,2005,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-0-xdi-4x4-19183.html
autopart.tn:46970,ACTYON SPORTS I (QJ),QJ,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-59019.html
autopart.tn:46970,ACTYON I,,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/2-0-xdi-14629.html
autopart.tn:46970,KORANDO Cabrio (KJ),KJ,3.2,1997,2006,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-cabrio-kj-3427/3-2-17339.html
autopart.tn:53287,KORANDO (KJ),KJ,3.2 (KJ),1996,2002,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-kj-1905/3-2-kj-7912.html
autopart.tn:53287,KYRON,,2.0 Xdi 4x4,2005,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/kyron-5484/2-0-xdi-4x4-19183.html
autopart.tn:53287,ACTYON SPORTS I (QJ),QJ,2.0 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-4wd-30692.html
autopart.tn:53287,ACTYON I,,2.0 Xdi,2007,,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/actyon-i-5619/2-0-xdi-14629.html
autopart.tn:53287,KORANDO Cabrio (KJ),KJ,3.2,1997,2006,https://autopart.tn/article/filtre-a-huile-7/ssangyong-175/korando-cabrio-kj-3427/3-2-17339.html
autopart.tn:18980,KYRON,,2.3,2010,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/kyron-5484/2-3-14386.html
autopart.tn:18980,ACTYON SPORTS I (QJ),QJ,2.0 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-4wd-30692.html
autopart.tn:18980,ACTYON I,,200 Xdi 4WD,2006,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-i-5619/200-xdi-4wd-19893.html
autopart.tn:18980,ACTYON SPORTS II,,2.0 Xdi 4WD,2012,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-sports-ii-11167/2-0-xdi-4wd-58685.html
autopart.tn:57687,KYRON,,2.3,2010,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/kyron-5484/2-3-14386.html
autopart.tn:57687,ACTYON SPORTS I (QJ),QJ,2.0 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-4wd-30692.html
autopart.tn:57687,ACTYON I,,200 Xdi 4WD,2006,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-i-5619/200-xdi-4wd-19893.html
autopart.tn:77853,KYRON,,2.3,2010,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/kyron-5484/2-3-14386.html
autopart.tn:77853,ACTYON SPORTS I (QJ),QJ,2.0 Xdi 4WD,2007,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-sports-i-qj-7952/2-0-xdi-4wd-30692.html
autopart.tn:77853,ACTYON I,,200 Xdi 4WD,2006,,https://autopart.tn/article/filtre-a-air-8/ssangyong-175/actyon-i-5619/200-xdi-4wd-19893.html
autopart.tn:58422,KYRON,,2.0 Xdi 4x4,2005,,https://autopart.tn/article/filtre-a-carburant-9/ssangyong-175/kyron-5484/2-0-xdi-4x4-19183.html
