canonical_product_id,source,product_brand,canonical_reference,product_title,oem_reference,pair_reference,price_tnd,currency,availability,delivery_note,product_url,image_url,image_alt,criteria_text,technical_specs_json,all_images_json,collected_at,last_checked_at,status,quarantined_motorisation
autopart.tn:18658,autopart.tn,ASHIKA,10-ECO009,Filtre à huile ASHIKA 10-ECO009,A1041800109,,18.0,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/ashika-257/10-eco009-18658.html,https://autopart.tn/pieces/257/10-ECO009_1.webp,Filtre à huile ASHIKA 10-ECO009,"Type de filtre: Cartouche filtrante | Longueur [mm]: 161 mm | Diamètre extérieur [mm]: 62 mm | Diamètre intérieur [mm]: 18,5 mm | Diamètre intérieur 1 [mm]: 0 mm | Diamètre de montage [mm]: 33 mm | pour numéro OE: A1041800109","{""Type de filtre"":""Cartouche filtrante"",""Longueur [mm]"":""161 mm"",""Diamètre extérieur [mm]"":""62 mm"",""Diamètre intérieur [mm]"":""18,5 mm"",""Diamètre intérieur 1 [mm]"":""0 mm"",""Diamètre de montage [mm]"":""33 mm"",""pour numéro OE"":""A1041800109""}","[""https://autopart.tn/pieces/257/10-ECO009_1.webp""]",2026-07-17T03:17:28.569Z,2026-07-17T03:17:28.569Z,active,False
autopart.tn:68315,autopart.tn,BLUE PRINT,ADG02105,Filtre à huile BLUE PRINT ADG02105,,,39.8,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/blue-print-350/adg02105-68315.html,https://autopart.tn/pieces/350/ADG02105_1.webp,Filtre à huile BLUE PRINT ADG02105,"Type de filtre: Cartouche filtrante | Hauteur [mm]: 162 mm | Diamètre intérieur [mm]: 22 mm | Diamètre extérieur [mm]: 63 mm | Poids [kg]: 0,072 kg | Article complémentaire/Info complémentaire: avec joints","{""Type de filtre"":""Cartouche filtrante"",""Hauteur [mm]"":""162 mm"",""Diamètre intérieur [mm]"":""22 mm"",""Diamètre extérieur [mm]"":""63 mm"",""Poids [kg]"":""0,072 kg"",""Article complémentaire/Info complémentaire"":""avec joints""}","[""https://autopart.tn/pieces/350/ADG02105_1.webp""]",2026-07-17T02:49:17.623Z,2026-07-17T02:49:17.623Z,active,False
autopart.tn:68188,autopart.tn,FEBI BILSTEIN,32549,Filtre à huile FEBI BILSTEIN 32549,,,24.8,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/febi-bilstein-101/32549-68188.html,https://autopart.tn/pieces/101/32549_1.webp,Filtre à huile FEBI BILSTEIN 32549,"Type de filtre: Cartouche filtrante | Diamètre intérieur [mm]: 22 mm | Hauteur [mm]: 162 mm | Diamètre extérieur [mm]: 63 mm | Poids [kg]: 0,072 kg | Article complémentaire/Info complémentaire: avec joints","{""Type de filtre"":""Cartouche filtrante"",""Diamètre intérieur [mm]"":""22 mm"",""Hauteur [mm]"":""162 mm"",""Diamètre extérieur [mm]"":""63 mm"",""Poids [kg]"":""0,072 kg"",""Article complémentaire/Info complémentaire"":""avec joints""}","[""https://autopart.tn/pieces/101/32549_1.webp""]",2026-07-17T02:54:44.141Z,2026-07-17T02:54:44.141Z,active,False
autopart.tn:48285,autopart.tn,KAMOKA,F101801,Filtre à huile KAMOKA F101801,,,27.5,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/kamoka-185/f101801-48285.html,https://autopart.tn/pieces/185/F101801_1.webp,Filtre à huile KAMOKA F101801,Type de filtre: Cartouche filtrante | Diamètre intérieur 1 [mm]: 12 mm | Diamètre intérieur 2 [mm]: 25 mm | Diamètre extérieur 1 [mm]: 91 mm | Diamètre extérieur 2 [mm]: 88 mm | Hauteur [mm]: 167 mm,"{""Type de filtre"":""Cartouche filtrante"",""Diamètre intérieur 1 [mm]"":""12 mm"",""Diamètre intérieur 2 [mm]"":""25 mm"",""Diamètre extérieur 1 [mm]"":""91 mm"",""Diamètre extérieur 2 [mm]"":""88 mm"",""Hauteur [mm]"":""167 mm""}","[""https://autopart.tn/pieces/185/F101801_1.webp""]",2026-07-17T02:19:42.478Z,2026-07-17T02:19:42.478Z,active,False
autopart.tn:3849,autopart.tn,KAMOKA,F108601,Filtre à huile KAMOKA F108601,,,16.8,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/kamoka-185/f108601-3849.html,https://autopart.tn/pieces/185/F108601_1.webp,Filtre à huile KAMOKA F108601,Type de filtre: Cartouche filtrante | Diamètre intérieur 1 [mm]: 24 mm | Diamètre intérieur 2 [mm]: 24 mm | Diamètre extérieur [mm]: 62 mm | Hauteur [mm]: 162 mm,"{""Type de filtre"":""Cartouche filtrante"",""Diamètre intérieur 1 [mm]"":""24 mm"",""Diamètre intérieur 2 [mm]"":""24 mm"",""Diamètre extérieur [mm]"":""62 mm"",""Hauteur [mm]"":""162 mm""}","[""https://autopart.tn/pieces/185/F108601_1.webp""]",2026-07-17T03:17:36.079Z,2026-07-17T03:17:36.079Z,active,False
autopart.tn:46970,autopart.tn,KAVO PARTS,SO-803,Filtre à huile KAVO PARTS SO-803,,,23.3,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/kavo-parts-201/so-803-46970.html,https://autopart.tn/pieces/201/SO-803_1.webp,Filtre à huile KAVO PARTS SO-803,Hauteur [mm]: 161 mm | Diamètre extérieur [mm]: 62 mm | Type de filtre: Cartouche filtrante | Diamètre intérieur 1 [mm]: 22 mm | Diamètre intérieur 2 [mm]: 23 mm,"{""Hauteur [mm]"":""161 mm"",""Diamètre extérieur [mm]"":""62 mm"",""Type de filtre"":""Cartouche filtrante"",""Diamètre intérieur 1 [mm]"":""22 mm"",""Diamètre intérieur 2 [mm]"":""23 mm""}","[""https://autopart.tn/pieces/201/SO-803_1.webp""]",2026-07-17T03:06:37.265Z,2026-07-17T03:06:37.265Z,active,False
autopart.tn:53287,autopart.tn,Ridex,7O0063,Filtre à huile Ridex 7O0063,,,21.5,TND,En Stock,,https://autopart.tn/fiche/filtre-a-huile-7/ridex-6358/7o0063-53287.html,https://autopart.tn/pieces/6358/7O0063_1.webp,Filtre à huile Ridex 7O0063,Type de filtre: Cartouche filtrante | Diamètre [mm]: 47 mm | Diamètre 1 [mm]: 37 mm | Hauteur [mm]: 153 mm,"{""Type de filtre"":""Cartouche filtrante"",""Diamètre [mm]"":""47 mm"",""Diamètre 1 [mm]"":""37 mm"",""Hauteur [mm]"":""153 mm""}","[""https://autopart.tn/pieces/6358/7O0063_1.webp""]",2026-07-17T03:06:45.725Z,2026-07-17T03:06:45.725Z,active,False
autopart.tn:18980,autopart.tn,ASHIKA,20-0S-S03,Filtre à air ASHIKA 20-0S-S03,2319009001.0,,34.1,TND,En Stock,,https://autopart.tn/fiche/filtre-a-air-8/ashika-257/20-0s-s03-18980.html,https://autopart.tn/pieces/257/20-0S-S03_1.webp,Filtre à air ASHIKA 20-0S-S03,"Longueur [mm]: 300 mm | Largeur [mm]: 239,5 mm | Hauteur [mm]: 59 mm | Type de filtre: Cartouche filtrante | pour numéro OE: 2319009001","{""Longueur [mm]"":""300 mm"",""Largeur [mm]"":""239,5 mm"",""Hauteur [mm]"":""59 mm"",""Type de filtre"":""Cartouche filtrante"",""pour numéro OE"":""2319009001""}","[""https://autopart.tn/pieces/257/20-0S-S03_1.webp""]",2026-07-17T03:17:58.628Z,2026-07-17T03:17:58.628Z,active,False
autopart.tn:57687,autopart.tn,KAVO PARTS,SA-9855,Filtre à air KAVO PARTS SA-9855,,,34.5,TND,En Stock,,https://autopart.tn/fiche/filtre-a-air-8/kavo-parts-201/sa-9855-57687.html,https://autopart.tn/pieces/201/SA-9855_1.webp,Filtre à air KAVO PARTS SA-9855,Longueur [mm]: 300 mm | Largeur [mm]: 238 mm | Hauteur [mm]: 58 mm | Type de filtre: Cartouche filtrante,"{""Longueur [mm]"":""300 mm"",""Largeur [mm]"":""238 mm"",""Hauteur [mm]"":""58 mm"",""Type de filtre"":""Cartouche filtrante""}","[""https://autopart.tn/pieces/201/SA-9855_1.webp""]",2026-07-17T03:18:06.139Z,2026-07-17T03:18:06.139Z,active,False
autopart.tn:77853,autopart.tn,NIPPARTS,J1320406,Filtre à air NIPPARTS J1320406,,,32.1,TND,En Stock,,https://autopart.tn/fiche/filtre-a-air-8/nipparts-248/j1320406-77853.html,https://autopart.tn/pieces/248/J1320406_1.webp,Filtre à air NIPPARTS J1320406,Type de filtre: Cartouche filtrante | Longueur [mm]: 300 mm | Largeur [mm]: 240 mm | Hauteur [mm]: 60 mm,"{""Type de filtre"":""Cartouche filtrante"",""Longueur [mm]"":""300 mm"",""Largeur [mm]"":""240 mm"",""Hauteur [mm]"":""60 mm""}","[""https://autopart.tn/pieces/248/J1320406_1.webp""]",2026-07-17T03:18:13.094Z,2026-07-17T03:18:13.094Z,active,False
autopart.tn:58422,autopart.tn,ASHIKA,30-0S-S04,Filtre à carburant ASHIKA 30-0S-S04,2247034000.0,,373.1,TND,En Stock,,https://autopart.tn/fiche/filtre-a-carburant-9/ashika-257/30-0s-s04-58422.html,https://autopart.tn/pieces/257/30-0S-S04_1.webp,Filtre à carburant ASHIKA 30-0S-S04,"Type de filtre: Filtre de conduite | Longueur [mm]: 184 mm | Diamètre extérieur [mm]: 95 mm | Diamètre 1/diamètre 2 [mm]: IN / OUT : 10 mm | pour référence: FC-ECO081, 30-ECO081, 3ECO081 | pour numéro OE: 2247034000","{""Type de filtre"":""Filtre de conduite"",""Longueur [mm]"":""184 mm"",""Diamètre extérieur [mm]"":""95 mm"",""Diamètre 1/diamètre 2 [mm]"":""IN / OUT : 10 mm"",""pour référence"":""FC-ECO081, 30-ECO081, 3ECO081"",""pour numéro OE"":""2247034000""}","[""https://autopart.tn/pieces/257/30-0S-S04_1.webp""]",2026-07-17T02:55:46.121Z,2026-07-17T02:55:46.121Z,active,False
autopart.tn:23711,autopart.tn,ASHIKA,30-0S-001,Filtre à carburant ASHIKA 30-0S-001,1480495.0,,46.6,TND,En Stock,,https://autopart.tn/fiche/filtre-a-carburant-9/ashika-257/30-0s-001-23711.html,https://autopart.tn/pieces/257/30-0S-001_1.webp,Filtre à carburant ASHIKA 30-0S-001,"Type de filtre: Filtre de conduite | Longueur [mm]: 176 mm | Diamètre extérieur [mm]: 86,2 mm | Diamètre 1/diamètre 2 [mm]: IN / OUT : 10 mm | Taraudage [mm]: M 10 X 1,5 mm | pour numéro OE: 1480495","{""Type de filtre"":""Filtre de conduite"",""Longueur [mm]"":""176 mm"",""Diamètre extérieur [mm]"":""86,2 mm"",""Diamètre 1/diamètre 2 [mm]"":""IN / OUT : 10 mm"",""Taraudage [mm]"":""M 10 X 1,5 mm"",""pour numéro OE"":""1480495""}","[""https://autopart.tn/pieces/257/30-0S-001_1.webp""]",2026-07-17T02:55:54.688Z,2026-07-17T02:55:54.688Z,active,False
